request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,689.4,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 689.40.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,not_affordable,not_recommended,none,2026-04-06,none,Do not make this payment today. Safe headroom is currently USD 775.20.
request_31,13840360.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 13,840,360.00."
request_32,33305.8,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 33,305.80."
request_33,65180.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 65,180.00."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,125130.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 125,130.00."
request_36,1446.6,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently USD 1,446.60."
request_37,12068800.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 12,068,800.00."
request_38,379.4,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 379.40.
request_39,203105.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 203,105.00."
request_40,851.0,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently EUR 851.00.
request_41,21888950.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 21,888,950.00."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,13988750.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 13,988,750.00."
request_44,79390.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 79,390.00."
request_45,8833100.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 8,833,100.00."
request_46,49450.0,not_affordable,not_recommended,none,2024-12-03,none,"Do not make this payment today. Safe headroom is currently INR 49,450.00."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,20228793.34,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 20,228,793.34."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,"Pay INR 28,870 today. This leaves at least INR 41,500 available over the next 90 days."
request_53,1423.42,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently USD 1,423.42."
request_54,16581.4,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 16,581.40."
request_55,190041.19,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 190,041.19."
request_56,881.56,not_affordable,not_recommended,none,2025-02-03,none,Do not make this payment today. Safe headroom is currently USD 881.56.
request_57,21214.6,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 21,214.60."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,not_affordable,not_recommended,none,2025-05-04,none,"Do not make this payment today. Safe headroom is currently INR 140,600.00."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062.0,not_affordable,not_recommended,none,2024-03-03,none,"Do not make this payment today. Safe headroom is currently ZAR 29,062.00."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,90145.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 90,145.00."
request_64,0.0,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently INR 0.00.
request_65,13024.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 13,024.00."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,792.54,not_affordable,not_recommended,none,,none,Do not make this payment today. Safe headroom is currently USD 792.54.
request_68,2091.6,not_affordable,not_recommended,none,2025-02-07,none,"Do not make this payment today. Safe headroom is currently USD 2,091.60."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,93360.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 93,360.00."
request_71,7485050.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 7,485,050.00."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270.0,not_affordable,not_recommended,none,2026-04-06,none,"Do not make this payment today. Safe headroom is currently ZAR 28,270.00."
request_76,1538.8,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently USD 1,538.80."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,1104.08,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 1,104.08."
request_80,152115.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 152,115.00."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,1011.4,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently USD 1,011.40."
request_83,28330.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 28,330.00."
request_84,62645.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 62,645.00."
request_85,2422120.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently IDR 2,422,120.00."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,92850.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 92,850.00."
request_88,15557.89,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 15,557.89."
request_89,13756000.0,not_affordable,not_recommended,none,2025-11-04,none,"Do not make this payment today. Safe headroom is currently IDR 13,756,000.00."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.20,2024-09-03,none,"Pay EUR 1,927.20 today. This leaves at least EUR 2,100 available over the next 90 days."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,137865.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 137,865.00."
request_96,90200.0,not_affordable,not_recommended,none,2026-01-03,none,"Do not make this payment today. Safe headroom is currently INR 90,200.00."
request_97,8865.89,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 8,865.89."
request_98,17244.7,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 17,244.70."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,34836.13,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 34,836.13."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,not_affordable,not_recommended,none,2026-04-05,none,"Do not make this payment today. Safe headroom is currently EUR 1,716.00."
request_103,35759.0,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently INR 35,759.00."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,1401.7,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 1,401.70."
request_107,2534.4,not_affordable,not_recommended,none,2025-05-05,none,"Do not make this payment today. Safe headroom is currently EUR 2,534.40."
request_108,7836.4,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently ZAR 7,836.40."
request_109,1276.46,not_affordable,not_recommended,none,,none,"Do not make this payment today. Safe headroom is currently EUR 1,276.46."
request_110,22352.0,not_affordable,not_recommended,none,2025-08-06,none,"Do not make this payment today. Safe headroom is currently ZAR 22,352.00."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
